platform,post_id,content,engagement_score,likes,comments,shares
youtube,xR0sEd7hSP0,"3 Free Certifications to Skyrocket Your Career 🚀 | AI/ML, Data Analytics & Data Science #shorts",1492,1431,61,0
youtube,1fcfZ_Ne8ok,Machine Learning with Python Full Course [2025] | Machine Learning - Beginner to Advanced | Edureka,262,260,2,0
youtube,hrIY4JUJmnA,Complete Statistics For Data Science in 7 Hours | Statistics And Probability Tutorial | Simplilearn,124,124,0,0
youtube,KgBnqoOqC5c,Day 01 - Project Introduction & Setup | End to End Machine Learning Project Implementation in Bangla,93,83,10,0
youtube,DnrFVmvtFhc,What is Machine Learning And Types of Machine Learning ll Basic of Machine Learning ll Free Course ,84,78,6,0
