platform,post_id,content,engagement_score,likes,comments,shares
youtube,t6naiMeKuQs,MLOps Full Course [2025] - 12 hour  | MLOps for Beginners | What is MLOps? | Edureka Live,111,111,0,0
youtube,KgBnqoOqC5c,Day 01 - Project Introduction & Setup | End to End Machine Learning Project Implementation in Bangla,94,83,11,0
youtube,l-BntrkD4sw,Complete Statistics For Data Science in 7 Hours | Statistics And Probability Tutorial | Simplilearn,69,69,0,0
youtube,P0usp_DMvyI,🚀63/180 DAYS OF Data Science & AI — Road To 1K,22,22,0,0
youtube,PKe00Aijvx4,7 Machine Learning Projects for Final Year 🧑‍💻 ...... #shorts #mlprojects #coding #ai #projects,21,16,5,0
