platform,post_id,content,engagement_score,likes,comments,shares
youtube,xR0sEd7hSP0,"3 Free Certifications to Skyrocket Your Career 🚀 | AI/ML, Data Analytics & Data Science #shorts",1467,1410,57,0
youtube,1fcfZ_Ne8ok,Machine Learning with Python Full Course [2025] | Machine Learning - Beginner to Advanced | Edureka,255,255,0,0
youtube,kA_Wawgtgmc,Python is the emperor of coding in 2025 💻🔥  #python #ai #programming #ml,197,191,6,0
youtube,vQmg_GXJ0wQ,Machine Learning 2025: The Next Big Bubble? | Opportunities & Risks Explained,189,186,3,0
youtube,hrIY4JUJmnA,Complete Statistics For Data Science in 7 Hours | Statistics And Probability Tutorial | Simplilearn,115,115,0,0
